SampleName	Class
GTEX.1IDJH.1726.SM.A96T3	GTEX Normal Adrenal Gland
GTEX.PLZ5.0326.SM.3P614	GTEX Normal Adrenal Gland
GTEX.1QP2A.2626.SM.EAZ3L	GTEX Normal Adrenal Gland
GTEX.1M5QR.1726.SM.EV7AU	GTEX Normal Adrenal Gland
GTEX.1HBPI.1926.SM.CE6RT	GTEX Normal Adrenal Gland
GTEX.14A5I.2126.SM.5NQA8	GTEX Normal Adrenal Gland
GTEX.1J8EW.1826.SM.C1YQW	GTEX Normal Adrenal Gland
GTEX.1PWST.2126.SM.DPRZ5	GTEX Normal Adrenal Gland
GTEX.QLQ7.0126.SM.CL55R	GTEX Normal Adrenal Gland
GTEX.1NUQO.0626.SM.E6CQT	GTEX Normal Adrenal Gland
GTEX.1A8FM.1926.SM.7MXTX	GTEX Normal Adrenal Gland
GTEX.14JG6.0126.SM.68726	GTEX Normal Adrenal Gland
GTEX.17HHY.2226.SM.7KFS4	GTEX Normal Adrenal Gland
GTEX.WQUQ.0126.SM.4OOSS	GTEX Normal Adrenal Gland
GTEX.R55E.1826.SM.EXOHD	GTEX Normal Adrenal Gland
GTEX.1GMR3.0926.SM.9WPP9	GTEX Normal Adrenal Gland
GTEX.1B996.2026.SM.7MKG7	GTEX Normal Adrenal Gland
GTEX.11EMC.0526.SM.5EGJN	GTEX Normal Adrenal Gland
GTEX.O5YV.1126.SM.3LK73	GTEX Normal Adrenal Gland
GTEX.1GN1V.1626.SM.7PBZF	GTEX Normal Adrenal Gland
GTEX.13OW6.1726.SM.5IJGI	GTEX Normal Adrenal Gland
GTEX.1EH9U.1726.SM.7P8QK	GTEX Normal Adrenal Gland
GTEX.14PJM.2226.SM.6AJAT	GTEX Normal Adrenal Gland
GTEX.1JMLX.1126.SM.CXZJN	GTEX Normal Adrenal Gland
GTEX.147F4.2526.SM.5NQBB	GTEX Normal Adrenal Gland
GTEX.Y5V5.1326.SM.4V6G9	GTEX Normal Adrenal Gland
